Symbol,Company Name,Return on Equity (TTM),Rev. Growth Rate (last 3 Yrs),Market Capitalization,EPS Growth Rate (last 3 Yrs),2012-04-23 CAPS Rating,
TGH,"Textainer Group Holdings, Ltd.",27.7,16.56,1625740221,28.81,5
THOR,Thoratec Corporation,12.2,9.64,1934724275,48.34,3
TIBX,"TIBCO Software, Inc.",14.0,14.22,5426879050,28.49,4
THI,"Tim Hortons, Inc.",33.2,19.19,8610886965,30.48,4
TSCO,Tractor Supply,22.1,12.20,7139607412,40.36,4
TGI,"Triumph Group, Inc.",12.6,40.11,2998322401,14.71,3
ULTA,"Ulta Salon Cosmetics & Fragrances, Inc.",20.6,17.98,5843234747,65.23,3
UA,"Under Armour, Inc.",15.2,23.35,4111377215,31.51,4
CCU,"United Breweries Company, Inc.",21.3,15.21,4576249236,14.75,5
UHS,"Universal Health Services, Inc.",17.3,13.55,3800200692,22.65,3
VMI,"Valmont Industries, Inc.",19.9,12.36,3251734208,14.70,4
VPRT,"VistaPrint, Ltd.",28.8,20.89,1423033047,16.56,3
WPC,W.P. Carey & Co. LLC,20.4,23.19,1866126836,88.55,3
WDR,"Waddell & Reed Financial, Inc.",33.5,10.57,2565642030,23.76,4
WCN,"Waste Connections, Inc.",11.8,12.57,4039869536,14.96,4
WSO,"Watsco, Inc.",11.3,22.54,2025726560,13.45,4
WF,Woori Finance Holdings Co Ltd,12.8,15.91,8602870396,70.05,4
INT,World Fuel Services Corporation,14.6,27.20,2990060125,14.74,4
YPF,YPF Sociedad Anonima,27.5,10.58,5510312230,9.75,4
